year,district,single_parent,basic_beneficiaries,multicultural_hh,academy_cnt,grdp,prediction_child_user
2023,종로구,274.14221737487793,5572.011114784496,1200.197172454877,169.39011708434592,35862278.63620736,258.6048
2024,종로구,260.9512338444959,5976.382649332429,1222.8126084623786,175.70735925198053,37497184.40807052,258.58527
2025,종로구,248.39496483625138,6410.1002017873925,1245.8541894046857,182.260196915335,39206623.003405,252.27661
2026,종로구,236.44286960057218,6875.29346895894,1269.329945173656,189.05741638275896,40993992.25826361,246.89998
2027,종로구,225.06587692631936,7374.246703839166,1293.2480569692073,196.10813163955592,42862844.91078533,254.61983
2028,종로구,214.23631443056445,7909.409932041341,1317.6168601504298,203.42179656838147,44816895.662941605,249.33131
2029,종로구,203.92784125075173,8483.410982237005,1342.4448471404237,211.00821762538968,46860028.56421676,245.57317
2030,종로구,194.11538397553187,9099.068389664957,1367.7406703858712,218.8775669891237,48996304.73189904,267.8
2023,중구,323.6401177342309,6472.971526029727,1352.0047944377097,93.46019319840518,75247798.26032777,97.15897
2024,중구,308.06742884419657,6942.727485798115,1377.4807567313892,96.94570158360958,78678228.90707418,99.23649
2025,중구,293.24405570946345,7446.5745366288575,1403.4367651443274,100.56119866547265,82265047.57704787,115.11611
2026,중구,279.1339432784533,7986.986734392147,1429.8818652338211,104.31153224792762,86015383.75815499,96.757835
2027,중구,265.70277137134923,8566.61768193828,1456.8252730035126,108.20173092911197,89936691.96061964,154.27959
2028,중구,252.9178712027497,9188.313559166409,1484.2763781151277,112.23701084391406,94036766.53424822,182.5536
2029,중구,240.74814592102632,9855.12709871036,1512.244747160732,116.42278265797677,98323757.16118988,189.03026
2030,중구,229.16399497111402,10570.332575866798,1540.7401269966479,120.76465882253547,102806185.05498816,189.5819
2023,용산구,499.73841708962124,9478.318040683464,2301.56656415583,109.74570966028044,18622171.862863023,325.47058
2024,용산구,475.6923533623623,10166.177761722938,2344.935214360368,113.83857078297329,19471127.852862053,357.89914
2025,용산구,452.80332131608327,10903.956782135743,2389.121064401685,118.08407124092126,20358786.432347577,400.5624
2026,용산구,431.01564770937637,11695.277841230058,2434.139512858479,122.48790357192833,21286911.992466602,445.8436
2027,용산구,410.2763381469363,12544.026587454613,2480.0062484664168,127.05597261154325,22257349.360227443,479.48224
2028,용산구,390.53494818071647,13454.370658219314,2526.737255585587,131.79440341050065,23272027.465446115,477.59784
2029,용산구,371.7434606133495,14430.780144375054,2574.348819770982,136.70954944743553,24332963.17486315,435.9905
2030,용산구,353.8561687053966,15478.049539840082,2622.8575334479483,141.80800114788295,25442265.30105188,417.02798
2023,성동구,546.3806693513192,10753.606051362725,2196.6257247985695,161.61041176816346,17514993.022990312,337.8611
2024,성동구,520.0903063428494,11534.015869529725,2238.016964214676,167.63751727776219,18313474.443479836,337.85724
2025,성동구,495.0649646389177,12371.061525143483,2280.1881429172345,173.88939791432452,19148357.39596141,408.14612
2026,성동구,471.24377482891816,13268.85318956349,2323.1539573806467,180.37443645091147,20021301.36993269,410.49957
2027,성동구,448.56879637398373,14231.799317168716,2366.9293810064605,187.101328288076,20934041.508448787,410.41733
2028,성동구,426.9848766775833,15264.628292328485,2411.529669341534,194.0790931130057,21888392.057050895,441.28366
2029,성동구,406.4395169372621,16372.411647335555,2456.9703653945276,201.3170869934826,22886249.969926137,453.80142
2030,성동구,386.88274445123363,17560.588965309118,2503.267305052579,208.8250149228749,23929598.68046676,465.04962
2023,광진구,1024.2257843589189,14421.802011432595,2753.9329008026593,164.92975270306798,8417516.107175136,415.8873
2024,광진구,974.942804224575,15468.419846568591,2805.8255353767486,171.08064985342867,8801257.637042051,449.26315
2025,광진구,928.0311880687725,16590.99274556945,2858.6959880822287,177.4609388214223,9202493.349262722,525.8468
2026,광진구,883.3768322576932,17795.032913112977,2912.562684044475,184.0791745551664,9622020.776531441,498.70425
2027,광진구,840.8711235163876,19086.45258514368,2967.444395575354,190.9442310513741,10060673.809823534,483.57785
2028,광진구,800.4106747475255,20471.59305990912,3023.3602487152903,198.06531325396602,10519324.355913112,476.48822
2029,광진구,761.8970735618362,21957.255835834218,3080.329729898612,205.4519693964296,10998884.070454495,460.27042
2030,광진구,725.2366429085844,23550.7360091309,3138.3726927444905,213.11410380447438,11500306.170072133,454.282
2023,동대문구,910.9517431519381,17328.471909616615,2542.0135358870275,158.1873414290432,9399842.275570838,470.87115
2024,동대문구,867.1192041291062,18586.03235469003,2589.912952558264,164.08678680910612,9828366.53491387,479.40198
2025,동대문구,825.3957685704603,19934.85637345084,2638.7149427544064,170.2062463538799,10276426.55192836,477.84674
2026,동대문구,785.6799521102346,21381.567138498678,2688.4365137591435,176.5539252808986,10744912.931567185,493.13272
2027,동대문구,747.8751535364154,22933.268478772967,2739.094993326122,183.13833481342482,11234756.880084455,475.1795
2028,동대문구,711.8894198265631,24597.579761705467,2790.7080357175914,189.96830359264035,11746932.055985995,460.25565
2029,동대문구,677.6352224894771,26382.673306837543,2843.2936278568395,197.0529895154435,12282456.50536178,461.98218
2030,동대문구,645.0292446686944,28297.31451461541,2896.870095596561,204.40189201372542,12842394.685447203,442.29123
2023,중랑구,1938.9850583077302,29461.405447719066,2669.368923456518,108.39722740547549,5528560.441960507,704.07513
2024,중랑구,1845.686331045966,31599.47615242794,2719.668110502065,112.43979817410879,5780598.954859962,729.5961
2025,중랑구,1756.876886706403,33892.7107493159,2770.9150901869916,116.63313274741277,6044127.513432507,790.0865
2026,중랑구,1672.3407131123802,36352.36977966587,2823.127721863309,120.98285371707478,6319669.931074958,799.25995
2027,중랑구,1591.872192010113,38990.53098384105,2876.324201408593,125.4947933639534,6607773.901026078,706.87616
2028,중랑구,1515.2755989411799,41820.148606989715,2930.52306756717,130.17500147823552,6909012.085011612,653.94073
2029,중랑구,1442.364627179796,44855.11700867874,2985.7432084107895,135.02975347123834,7223983.251518962,605.9524
2030,중랑구,1372.961934576939,48110.3388888002,3042.003867921038,140.06555878973316,7553313.465964037,524.4727
2023,성북구,1285.0416439447404,18053.530526285398,2420.771206920873,134.22584905520122,6754763.843278209,675.5884
2024,성북구,1223.2089086460746,19363.70986594099,2466.3860421957656,139.23167352851365,7062703.07120553,591.9534
2025,성북구,1164.3513976699282,20768.971433394683,2512.860402398585,144.4241854307676,7384680.771875438,512.3655
2026,성북구,1108.325951252682,22276.215528299686,2560.210483643978,149.8103470908084,7721336.93753014,464.91934
2027,성북구,1054.996298092122,23892.843218290825,2608.45278723161,155.3973804908667,8073340.73666752,396.8787
2028,성북구,1004.2327238932709,25626.792680677547,2657.6041253967924,161.19277695008304,8441391.844141478,444.09036
2029,성북구,955.9117558628986,27486.578181523244,2707.6816271694793,167.20430716916977,8826221.831899475,420.35
2030,성북구,909.9158623853057,29481.331883511175,2758.7027443436587,173.44003164967916,9228595.62312166,471.94818
2023,강북구,1562.9913921164916,24242.270494005617,2100.854473346313,113.47996821204804,4308895.105233796,602.43274
2024,강북구,1487.7844651828552,26001.578564044572,2140.441085440938,117.7120949305981,4505330.963349829,674.8499
2025,강북구,1416.1962925733499,27888.562995341414,2180.7736320479303,122.10205476140631,4710722.028174634,713.94586
2026,강북구,1348.0527495977067,29912.48950633493,2221.8661688863144,126.65573393921512,4925476.553720313,706.2729
2027,강북구,1283.1880899757514,32083.29624642403,2263.7330165284425,131.37923822025363,5150021.4056674475,697.34796
2028,강북구,1221.4445426909265,34411.64259557235,2306.3887653906504,136.27890106908103,5384802.909842248,619.3472
2029,강북구,1162.671928242133,36908.961505393796,2349.8482808179574,141.36129215075093,5630287.7393744765,574.7181
2030,강북구,1106.7272933604977,39587.51563873097,2394.1267082645727,146.63322613968236,5886963.84229952,554.3392
2023,도봉구,1412.593925639996,17035.659775961914,1677.015743515049,120.32610889028858,3818478.5711907456,539.50165
2024,도봉구,1344.6237188376108,18271.970282838683,1708.6159198039688,124.81355586791022,3992557.0986346942,538.0474
2025,도봉구,1279.9240549201286,19598.002214627362,1740.8115413922856,129.46835788229552,4174571.5966889495,464.99896
2026,도봉구,1218.3375641918371,21020.266827232885,1773.6138283156515,134.2967562792409,4364883.853969559,413.55917
2027,도봉구,1159.7144491620068,22545.747910890757,1807.0342120299788,139.30522516955594,4563872.152475565,409.99814
2028,도봉구,1103.9121201908251,24181.93608288982,1841.0843393952525,144.5004801098117,4771932.019496802,396.61765
2029,도봉구,1050.7948486670678,25936.865568983703,1875.776076734412,149.88948710682914,4989477.013800016,401.3152
2030,도봉구,1000.2334368739212,27819.15365409981,1911.121513968713,155.4794719579813,5216939.547655977,416.12637
2023,노원구,1952.3114160967868,34129.23843550388,2110.024061251316,133.70720203412242,7721713.587897304,582.21466
2024,노원구,1858.3714604689621,36606.062733735875,2149.7834568128915,138.69368406356577,8073734.557941906,518.14166
2025,노원구,1768.9516419414986,39262.63492220882,2190.2920426630762,143.86613216403356,8441803.619118167,485.19727
2026,노원구,1683.8344637179637,42111.99965010076,2231.5639358698145,149.23148176201855,8826652.379059967,505.3962
2027,노원구,1602.812894360698,45168.14824180217,2273.6135195103802,154.79692693410138,9229045.798260754,547.13434
2028,노원구,1525.689864225999,48446.08739895197,2316.4554476838202,160.569930053058,9649783.710578803,583.054
2029,노원구,1452.2777861294853,51961.91288831212,2360.104650617842,166.5582317937093,10089702.413059916,575.9996
2030,노원구,1382.3980990757495,55732.888577312595,2404.576339871935,172.76986151192924,10549676.328237712,606.03613
2023,은평구,1716.244506690642,26133.214785702454,2988.266813930522,132.7736373961805,6046982.017104648,722.2001
2024,은평구,1633.6634535473129,28029.752310102907,3044.575025993342,137.72530302665956,6322654.56715103,678.28326
2025,은평구,1555.0559777769488,30063.92520049082,3101.9442593581857,142.8616362839123,6610894.602040944,596.9092
2026,은평구,1480.2308815619153,32245.721919381052,3160.3945069561396,148.18952417019685,6912275.053955218,592.3781
2027,은평구,1409.0061670074786,34585.85581117253,3219.9461384471006,153.7161105319238,7227394.974165962,590.9732
2028,은평구,1341.2085934663462,37095.81770821699,3280.6199073185153,159.4488056384129,7556880.723765515,516.04504
2029,은평구,1276.6732561635602,39787.93235461109,3342.43695811788,165.39529611788043,7901387.218678866,533.84296
2030,은평구,1215.2431850968194,42675.41892477126,3405.418833821528,171.56355526397937,8261599.231434285,508.51
2023,서대문구,835.7530099136903,12507.26113753648,2051.9500045196287,156.3202121531594,9176258.868915679,276.71457
2024,서대문구,795.538830956484,13414.937069079007,2090.6151047905187,162.1500247352937,9594590.306833684,341.7791
2025,서대문구,757.2596497438496,14388.484784031334,2130.0087754338174,168.19725459363735,10031992.827471836,383.27484
2026,서대문구,720.8223594072999,15432.68472406741,2170.144744974315,174.47001009725517,10489335.851971243,381.18573
2027,서대문구,686.1383331295431,16552.664256683063,2211.0370006247736,180.97670200906964,10967528.437037071,394.2312
2028,서대문구,653.1232085765124,17753.92285226835,2252.6997931604124,187.72605476335016,11467521.081862545,392.9714
2029,서대문구,621.6966827019445,19042.359088328336,2295.1476418852403,194.72711816378578,11990307.617427824,373.78668
2030,서대문구,591.7823164254062,20424.299613451985,2338.3953396919733,201.98927951782568,12536927.181929117,352.7159
2023,마포구,727.2383822028012,11701.759627006517,2386.1305415019715,269.07407453569704,24225578.66299032,273.97156
2024,마포구,692.2456342263711,12550.9787688579,2431.0926392350516,279.1089344149647,25329985.29550308,335.3115
2025,마포구,658.9366428295002,13461.827372762358,2476.9019622969217,289.518034781616,26484740.1168829,343.53568
2026,마포구,627.2303901904068,14438.778006995579,2523.574475039645,300.3153325761645,27692138.423126362,375.9292
2027,마포구,597.0497568462083,15486.62782269207,2571.1264426331777,311.5153052498518,28954580.149221633,370.66254
2028,마포구,568.3213341144141,16610.522109445817,2619.574436733707,323.1329701765961,30274574.639478136,358.03006
2029,마포구,540.9752455401886,17815.979560386088,2668.935341258805,335.18390478889205,31654745.635328148,356.54626
2030,마포구,514.9449769350915,19108.919370788197,2719.226358271401,347.68426746465815,33097836.490514573,340.82355
2023,양천구,1285.9935266439586,18745.339413491558,2668.350080355962,213.26765506761492,8665067.53791782,541.89734
2024,양천구,1224.1149893191457,20105.72465108428,2718.6300692385144,221.22126798657192,9060094.554327847,497.54556
2025,양천구,1165.2138801867209,21564.835654790808,2769.857489007531,229.47150328103413,9473130.240954343,437.60196
2026,양천구,1109.146933438795,23129.837142828757,2822.050192198476,238.02942319837868,9904995.585196888,495.86966
2027,양천구,1055.7777768314495,24808.41379075979,2875.226367743933,246.90650254190257,10356549.001999801,475.73868
2028,양천구,1004.9765999850437,26608.80796579144,2929.4045473123733,256.1146440567007,10828688.040115977,466.24875
2029,양천구,956.6198386450193,28539.860199529572,2984.603611766358,265.66619438934543,11322351.166156637,447.04724
2030,양천구,910.5898741352206,30611.05259791616,3040.842797742442,275.57396064276685,11838519.629973155,439.8632
2023,강서구,2034.173328229563,33493.20328804148,3997.9403265814412,151.4449301550184,21737840.38096995,552.9099
2024,강서구,1936.2943983530824,35923.86929561188,4073.273918171795,157.09292376478356,22728834.875971355,557.9304
2025,강서구,1843.125138385657,38530.93339773145,4150.027028203724,162.95155388633748,23765007.27604114,567.70984
2026,강서구,1754.43893172369,41327.19714247946,4228.226404805964,169.02867600663077,24848417.17194057,579.5376
2027,강서구,1670.0200659428629,44326.39111083458,4307.899300124931,175.33243857547558,25981218.047985677,670.9673
2028,강서구,1589.6632081184591,47543.24233837439,4389.0734798219755,181.8712939313147,27165661.56250909,694.218
2029,강서구,1513.1729053918625,50993.546629897006,4471.777232749595,188.65400963445737,28404102.023461472,673.7893
2030,강서구,1440.363109568443,54694.24612205344,4556.039380809982,195.68968022297648,29699001.068048745,709.4633
2023,구로구,1226.0249165932041,15405.350460375306,7944.938498135087,121.98577935774084,18116099.73292665,653.43695
2024,구로구,1167.0319069156624,16523.346293043633,8094.645773166069,126.53512215574347,18941984.677870095,633.45215
2025,구로구,1110.877481628791,17722.47722777138,8247.173997434413,131.25412833584443,19805520.439067576,628.7994
2026,구로구,1057.42505571367,19008.631394544227,8402.576326370261,136.14912533136834,20708423.45895248,557.7252
2027,구로구,1006.5446162538171,20388.124236235217,8560.906917016873,141.22667655120497,21652488.429911852,567.1473
2028,구로구,958.1124062033576,21867.72951952065,8722.220946904119,146.49359018029185,22639591.861580662,531.65485
2029,구로구,912.0106233714174,23454.712596317633,8886.574633277609,151.95692830830265,23671695.81076349,489.76794
2030,구로구,868.1271338905731,25156.86607906791,9054.025252690173,157.62401639878104,24750851.781397577,466.14114
2023,금천구,1028.0333151557923,13904.822346884737,4792.637945015061,146.67337756109316,21993333.056006346,660.691
2024,금천구,978.5671269168597,14913.921976120424,4882.946103741112,152.143420687263,22995975.066585973,626.7256
2025,금천구,931.4811181359427,15996.253901053273,4974.9559481830565,157.8174638323844,24044325.97444002,614.1065
2026,금천구,886.6607610021456,17157.132729852492,5068.699543375957,163.70311498176434,25140469.57744251,581.81396
2027,금천구,843.9970384736976,18402.258761996334,5164.209558559551,169.80826585323456,26286584.670587014,578.1598
2028,금천구,803.3861791146167,19737.74597863021,5261.519278563346,176.14110247868425,27484949.376758337,584.9892
2029,금천구,764.7294046903189,21170.15206423879,5360.6626154062415,182.71011618022104,28737945.674937267,585.2225
2030,금천구,727.9326899082445,22706.510607048414,5461.674120114718,189.52411495567722,30048064.134839285,539.27136
2023,영등포구,574.937150327869,12445.051966283832,6642.857015624617,190.23972733171487,52336371.625715226,518.9593
2024,영등포구,547.2727265349845,13348.21325894209,6768.02903834865,197.33453574288566,54722305.796748884,486.0653
2025,영등포구,520.9394401426939,14316.918699006566,6895.559690083659,204.6939382380431,57217011.01345643,459.4269
2026,영등포구,495.8732404123111,15355.924950977975,7025.4934147132735,212.32780260011018,59825445.9794436,423.96777
2027,영등포구,472.01315855380864,16470.33387962384,7157.87549358169,220.24636462152205,62552795.457937986,410.0535
2028,영등포구,449.3011594307671,17665.617601824,7292.752061274026,228.46024182878847,65404480.57749721,391.8901
2029,영등포구,427.6820004008821,18947.645356476605,7430.1701216940255,236.98044771890056,68386169.60753846,390.79953
2030,영등포구,407.1030969486849,20322.712324404714,7570.17756444472,245.81840652667046,71503789.22510782,384.12762
2023,동작구,716.7676725113996,13931.636644838463,2629.634042534837,176.65117537944954,7962059.868616557,429.6185
2024,동작구,682.2787468225882,14942.682239110474,2679.184501223599,183.23921176125097,8325037.853567541,428.2271
2025,동작구,649.4493351447823,16027.101351494983,2729.668644188025,190.07294264961146,8704563.44299942,392.99243
2026,동작구,618.1995861431626,17190.218838942765,2781.1040649348097,197.1615309858166,9101391.016586471,457.99216
2027,동작구,588.4534907136058,18437.745993487377,2833.5086884868624,204.5144814342705,9516309.345004613,464.83203
2028,동작구,560.1386971049133,19775.808586580362,2886.9007776301014,212.14165312673217,9950143.157763947,455.51324
2029,동작구,533.1863349368613,21210.97694865764,2941.2989392779573,220.05327288183625,10403754.78251634,437.76822
2030,동작구,507.53084768602605,22750.298231637753,2996.722130955801,228.25994891762255,10878045.859096514,413.97028
2023,관악구,1258.3889283666272,24611.235233848904,4550.153287082751,153.3120594309022,6780549.100095488,673.2766
2024,관악구,1197.8386498000818,26397.31978278766,4635.892283016115,159.02968583859598,7089663.837968153,666.253
2025,관악구,1140.2018871997373,28313.023913419347,4723.246867471415,164.96054564658,7412870.638262243,641.9187
2026,관악구,1085.3384500415152,30367.7543674171,4812.247483145626,171.11259119027417,7750811.936290472,620.0682
2027,관악구,1033.1148933909521,32571.600551740812,4902.925146370526,177.49407137983076,8104159.454997034,613.72394
2028,관악구,983.4041933236326,34935.38408096643,4995.311457921748,184.1135427606049,8473615.540135391,617.22784
2029,관악구,936.08543796352,37470.71191499717,5089.438614031521,190.9798809861151,8859914.556314746,561.0151
2030,관악구,891.0435333876844,40190.03335308029,5185.339417608914,198.10229271887619,9263824.34669011,561.16425
2023,서초구,451.1923994294866,8068.958540235566,2042.7804166146254,288.57520252826106,42087117.3401914,169.76051
2024,서초구,429.48223903573285,8654.538338965902,2081.2727334185647,299.3373382970054,44005803.873151705,179.35678
2025,서초구,408.81671295966373,9282.614786919452,2120.490364818671,310.5008376108156,46011960.35521798,224.45866
2026,서초구,389.1455562176084,9956.271947445255,2160.446977990815,322.0806689386622,48109574.405975364,198.59233
2027,서초구,370.4209224412339,10678.817700285284,2201.156497642836,334.0923589842281,50302815.43441348,184.90259
2028,서초구,352.597267500304,11453.799984359386,2242.6331108672425,346.552013504738,52596042.926423945,183.15051
2029,서초구,335.63123872519554,12285.024219320305,2284.891272085356,359.47633890620574,54993815.11011214,204.18857
2030,서초구,319.48156945972954,13176.571991424345,2327.945708084611,372.8826646440551,57500898.0161471,194.33165
2023,강남구,777.6881652613724,16659.18703269159,2428.92195172532,434.83366247249114,94138210.61263521,159.20523
2024,강남구,740.2679098991429,17868.17619045838,2474.6903723041687,451.05036741231004,98429825.91808543,180.40266
2025,강남구,704.6482162195048,19164.90401042575,2521.3212118342703,467.87185882981277,102917089.3223269,219.73996
2026,강남구,670.742446054401,20555.73785560544,2568.8307209626446,485.32069165739466,107608920.11934018,216.4685
2027,강남구,638.4681300305657,22047.507180756482,2617.2354565488877,503.42026199205037,112514644.21991222,214.02194
2028,강남구,607.7467669783721,23647.537067269703,2666.5522874351655,522.1948384658023,117644012.68866715,212.8634
2029,강남구,578.5036329925839,25363.68419174305,2716.798400324932,541.6695947860584,123007221.12617166,200.97867
2030,강남구,550.6675996805886,27204.37540486547,2767.991305772425,561.8706434895324,128614929.93464059,199.40707
2023,송파구,1380.2299138665728,19062.820701263685,3295.9574302984106,186.92038639681036,35315510.112538286,556.9762
2024,송파구,1313.816975953191,20446.246164886477,3358.0634875855644,193.89140316721915,36925489.553749464,541.9172
2025,송파구,1250.5996493491823,21930.069468020658,3421.3398155553123,201.1223973309453,38608865.46560096,510.04187
2026,송파구,1190.424169863992,23521.576674457603,3485.8084657358036,208.62306449585523,40368983.87957899,491.95135
2027,송파구,1133.1441720248718,25228.582611613765,3551.491905174351,216.40346185822395,42209343.367565915,459.23306
2028,송파구,1078.6203330705503,27059.469243921223,3618.413024267097,224.47402168782813,44133601.99592076,427.92593
2029,송파구,1026.7200340749653,29023.226831048756,3686.5951447362227,232.84556531595354,46145584.59658558,401.2466
2030,송파구,977.3170373768097,31129.498073053954,3756.0620277574644,241.52931764507093,48249290.369670175,392.09784
2023,강동구,1157.4893622494847,18266.972337997064,2578.691887507041,167.52298780846212,10799280.862809647,564.16315
2024,강동구,1101.7940984545382,19592.641559341788,2627.2824380460784,173.77059717816812,11291603.36115623,558.8002
2025,강동구,1048.7787404197281,21014.517138910698,2676.7885852149907,180.25120515509246,11806370.080137258,521.8399
2026,강동구,998.314338313527,22539.58095665827,2727.2275816931433,186.97350119911556,12344604.217030082,501.74884
2027,강동구,950.2781470222374,24175.321580959546,2778.6170052538737,193.9464988352007,12907375.615092121,459.0467
2028,강동구,904.5533275957166,25929.771039960746,2830.97476489027,201.17954773909128,13495802.8900789,469.3719
2029,강동구,861.0286630587294,27811.54426149729,2884.319107056377,208.68234627373195,14111055.653706722,437.6149
2030,강동구,819.5982878966901,29829.881375242327,2938.6686220260103,216.46495449322396,14754356.838479606,442.42944
